id,firstName,lastName,address,city,state,zip,phone,sex,birthDate,stat,mood,charge
1679,Onita,McPaike,8342 Gum Ln,Wilkes Barre,PA,18705,215-772-1340,1,1962-03-04,41.702220307632714,strong,REMOVAL OF ORGANIC INORGANIC MATER
1680,Justyna,Haslum,3540 Oak Ln,Cromona,KY,41810,364-230-9053,1,1982-01-14,41.26150632242265,recognized,KIDNAPPING FOR RANSOM OR AS SHIELD OR HOSTAGE
1681,Assunta,Quarrington,3070 Walnut Ct,Oakley,CA,94561,415-672-5065,1,1984-07-05,90.53839123374013,interrogated,VOL MANSLAUGHT PROVOC FROM IND KILLED
1682,Ladonna,Esome,5399 Plum Ln.,Crockett,VA,24323,703-909-9098,1,1984-07-11,82.55932674447033,dirty,ENDAGERING WELFARE OF CHILDREN WHERE THERE IS A COURSE OF CONDUCT
1683,Elyssa,Tottem,8698 Alder Ave,Waterloo,IA,50701,641-636-9551,1,1951-05-26,47.36471745242016,alert,PAROLE FROM ANOTHER STATE
1684,Shawna,Baistow,252 Pine Blvd,Kemah,TX,77565,737-237-0784,1,1968-03-03,80.15592102702131,flirty,USE EXPIRED LEARNERS PER
1685,Abdulmalik,Barehead,6614 Spruce St.,Sutton,AK,99674,907-824-0944,0,1969-05-21,35.56346917757015,cranky,POSS LIQUEFIED AMMONIA W INTENT TO MANU CONT SUBS
1686,Trany,Ropcke,6954 Cherry Ct,Pascoag,RI,02859,401-912-2910,1,1987-12-13,49.995859970552345,glad,FIREARMS DISCHARGE PROHIBITED
1687,Gabe,Digginson,3979 Sumac Ave.,Middletown,NY,10940,347-285-7797,0,1966-10-30,71.02143121137792,blamed,PURCH ETC ALCOH BEV BY A MINOR
1688,Nikkita,O'Fallone,1392 Larch Street,Gilford,NH,03249,603-975-9278,1,1996-11-26,37.56531975362704,warned,VIOLATION OF POSTING HIGH DRUG ACTIVITY AREA
1689,Aleksandra,Week,9604 Maple Ave,Adrian,PA,16210,570-963-9731,1,1997-01-19,12.691321927168396,sabotaged,EXCEED 25 MPH RESIDENCE DIST BY 8 MPH
1690,Javian,Moules,6019 Hickory Blvd,Bristol,GA,31518,229-804-3369,0,1988-04-05,53.98102280807047,bothered,SOLICITATION OF REGISTRATION
1691,Simone,Wallbridge,9978 Olive St,Westport,IN,47283,574-813-4588,1,1970-02-24,31.657221371134895,passionate,INTENTIONALLY IMPERSONATE ANOTHER
1692,Selvin,Pinnegar,7520 Chestnut St.,Washington Navy Yard,DC,20388,202-359-0117,0,1953-05-25,89.35438208223053,nonchalant,UNLAWFUL BEHAVIOR
1693,Darryn,Laurens,7144 Alder Ct.,Miami,FL,33150,239-871-5101,0,1968-10-24,51.77490274587515,serious,USES INCAPACITATION DEVICE
1694,Avraham,Guiel,2475 Olive Street,Crofton,KY,42217,270-916-7923,0,1993-05-27,53.930849827313715,complacent,REMOVAL OF DEPOSITED MATERIAL
1695,Billal,Jouandet,9790 Tulip Tree Lane,Duck,WV,25063,681-893-0488,0,1980-04-12,53.80063768358914,apathetic,KNOWINGLY POSSESS EPHEDRINE
1696,Geraldine,Hargraves,1611 Chestnut Avenue,Cobb,WI,53526,920-896-9813,1,1978-01-12,25.49628139563604,suspicious,UNAUTHORIZED PRACTICE OF LAW
1697,Latrease,Callicott,3170 Redwood Blvd,Harriman,TN,37748,865-433-5035,1,1956-08-01,97.83785185590408,miserable,UNLAWFL TO LEAVE KEYS IN UNATTENDED VEHICLE
1698,Beatris,Tregenza,1516 Alder Rd,Sullivan,IL,61951,773-946-9618,1,1952-10-11,61.71691505585422,zealous,POSSESSION OF ALCOHOL IN PARK
1699,Coreen,Klaff,9688 Birch Circle,Philadelphia,PA,19154,215-552-9453,1,1974-04-24,21.0910766089674,offended,EXCEED 35 MPH IN URBAN DIST BY 72 MPH
1700,Reizel,Chilcotte,5125 Olive Avenue,Arverne,NY,11692,934-471-9814,1,1970-03-25,75.01922223441161,useless,CARRYING OR DISCHARGING FIREARMS
1701,Parsa,Hacun,750 Sassafras Blvd.,Stevenson,AL,35772,251-930-4409,0,1950-08-21,44.68515874344158,liked,SUBMIT DUP CLAIM MED ASSIST
1702,Trini,Zanetto,4658 Oak Ct,Sherwood,WI,54169,608-661-8031,1,1963-08-12,28.38228999497674,off,OBTAIN LICENSE PRIOR TO BEGINNING OF BUSINESS
1703,Aleia,Whines,8037 Cedar Street,Oberlin,OH,44074,740-683-0011,1,1951-01-09,73.6622045359478,immune,IMPROP FASTENING LOAD
1704,Alida,Slayford,1347 Fir Way,Runnemede,NJ,08078,862-574-4062,1,1962-12-10,65.98624749548844,sexy,FAIL TO PREV CATAST DID OR ASSENT TO ACT
1705,Sharelle,Lishmund,6050 Tupelo Circle,Brighton,CO,80603,970-775-6062,1,1982-04-05,77.89737685720631,zealous,DISARMING LAW ENFORCEMENT OFFICER WITHOUT LAWFUL AUTHORIZATION
1706,Jahkeem,Edworthie,7927 Crabapple Blvd.,Ballston Lake,NY,12019,917-949-1449,0,1989-09-29,11.415078668354209,disturbed,DRIVING WHILE BAC 02 OR GREATER WHILE LICENSE SUSP
1707,Earline,Harrop,7348 Oak Blvd.,Haledon,NJ,07538,201-702-5142,1,1991-07-12,32.357486065632706,soothed,FOG LAMPS
1708,Eliott,Caroline,4867 Beech Ln,Luray,TN,38352,865-767-9139,0,1996-08-03,78.82724344427133,neurotic,INTERFERE TAKING WILDLIFE DRIVE DISTURB WILDLIFE
1709,Kennon,Eadmeades,5107 Dogwood Boulevard,Burkett,TX,76828,361-354-8118,0,1987-04-02,59.811302343857015,light-hearted,REPORT KILLING OF BIG GAME WITHIN 10 DAYS
1710,Karra,David,8472 Fir Boulevard,Upper Tract,WV,26866,681-077-9818,1,1977-07-31,72.09335708909447,vain,NOTICE OF VIOLATION REQUIRED CORRECTIONS
1711,Kemper,Gozzett,3615 Pear Ct.,Front Royal,VA,22630,757-971-1521,0,1955-04-14,50.953778523773465,warlike,REFUSAL OF ENTRY
1712,Starr,Scrimshire,657 Pine Ln.,Groesbeck,TX,76642,979-567-7489,1,1992-12-16,58.03925886005845,aloof,ACCI DAM TO UNATTENDED VEH OR PROPERT
1713,Marquia,Bedell,647 Palm Ave,New Alexandria,PA,15670,814-503-9173,1,1991-09-23,14.298699463953717,reborn,REQ VEH FAIL STOP RR CROSSING
1714,Tenesha,Thowes,P.O. Box 107,Ellenburg Center,NY,12934,680-152-9818,1,1984-10-28,59.08830077196748,informed,SOUND SYSTEM
1715,Markita,Potbury,7549 Pear Rd.,Verdugo City,CA,91046,925-448-2235,1,1971-07-13,59.09567166397497,choleric,NON PAYMENT OF BUSINESS LICENSE
1716,Jerald,Kevlin,9145 Magnolia Blvd,Allensville,PA,17002,570-503-7240,0,1960-04-19,44.84258775679545,dropped,CROSSING STREET OR HWY PERMITTED YIELD RT OF WAY
1717,Shanti,Channer,3107 Crabapple Blvd,Forestville,PA,16035,878-155-5367,1,1986-11-26,34.69648589216422,skillful,EXCEED 35 MPH IN URBAN DIST BY 50 MPH
1718,Mallorie,Arenson,6636 Cherry Street,Williamstown,PA,17098,610-747-1700,1,1994-03-31,33.12628426917785,blah,IND ASSLT PERSON UNCONSCIOUS
1719,Avrohom,Penley,7079 Magnolia Circle,Tulsa,OK,74189,580-392-3388,0,1997-11-08,54.62274958907078,objective,POSSESSING INSTRUMENT OF CRIME UNLAWFUL BODY ARMOR
1720,Yarithza,Pimm,1109 Yellowwood St.,Montgomery,AL,36105,205-930-2837,1,1977-07-05,19.00469948827142,talkative,PARK AFTER HOURS
1721,Dearis,Petchell,9712 Redwood Blvd,Brownwood,TX,76803,361-833-5485,0,1971-01-16,14.685227137642311,angry,HEALTH CARE FACILITY INS FRAUD
1722,Vishal,Giller,P.O. Box 7851,North Waltham,MA,02455,781-104-3005,0,1951-08-24,17.033985619825657,mellow,PERMITTING VIOLATION POSS SAFE USE DISPLAY DOCUMENTS
1723,Deeann,Ricardin,9208 Birch St.,Aurora,IN,47001,765-424-8489,1,1979-11-22,27.057123062011843,informed,ILLEGAL FOR CERTAIN PERSONS TO TRANSFER DOGS
1724,Myriah,Cosser,3676 Pine Street,Drummond Island,MI,49726,269-351-9056,1,1958-05-24,80.8899944232604,hopeful,UNLAW TRANS OF EMAIL USE COMP FORGE FALSIFY
1725,Socorro,MacAlester,6589 Willow Road,Boxford,MA,01921,413-347-6194,1,1996-11-27,69.87380217023006,violated,CONSUMPTION OF ALCOHOLIC BEVERAGE ON PUBLIC STREET
1726,Chetara,Baybutt,2474 Redwood Rd.,Taylor,AR,71861,501-850-3601,1,1967-05-16,41.04391099489266,stifled,DUI INCAPABLE OF SAFELY OPERATING VEHICLE 1ST OFFENSE
1727,Madelein,Billsberry,3287 Cedar Rd.,Brushton,NY,12916,516-077-0589,1,1982-01-10,22.667253714906266,transformed,IMPROPER RIGHT TURN
1728,Amye,Bundock,2527 Pine Ln.,West Chicago,IL,60186,779-265-7680,1,1975-10-13,98.09126482344217,spiteful,UNAUTHORIZED TO HOLD CERTIFICATE OF TITLE
1729,Nirav,Essam,7117 Gum Ct.,Charlotte,NC,28275,984-002-8230,0,1954-08-23,36.56827739517931,unaccepted,EXCEED MAX SPEED LIM ESTB BY 60 MPH
1730,Jamila,Maskall,8134 Maple Rd,Champlin,MN,55316,320-499-4386,1,1993-06-20,24.743075099443196,apologetic,ASSIST IN PREPARING FILING FRAUDULENT CLAIM
1731,Cathlene,Jerome,P.O. Box 1306,Dover,MO,64022,816-557-9990,1,1976-05-01,17.486852599320464,tame,LICENSE REQUIRED DEALER
1732,Kalah,Doust,5729 Elm Ave,Ore City,TX,75683,346-127-1886,1,1996-01-31,96.81344438741357,sexy,OPEN CONTAINERS IN PUBLIC
1733,Maaz,Kynoch,5267 Cherry Avenue,Folsom,NM,88419,505-069-6827,0,1991-06-23,93.67017119046065,dirty,PARKS AND PLAYGROUNDS
1734,Laneshia,Gleeson,4758 Chestnut Lane,Saint Marys,IA,50241,515-209-5811,1,1952-02-25,33.86328219664907,silly,PAN HANDLING
1735,Shalyn,Pes,P.O. Box 265,Sunnyside,NY,11104,845-370-5417,1,1955-12-08,18.039308032372187,enriched,OPEN CONTAINER IN PUBLIC
1736,Amoni,Bum,3684 Oak Street,Hallandale,FL,33008,772-419-6066,1,1979-07-02,38.57380701893473,challenged,EXCEED 35 MPH IN URBAN DIST BY 51 MPH
1737,Keithen,Kenchington,9675 Tulip Tree St,Barton,NY,13734,315-906-6777,0,1987-04-13,15.755172438678219,sure,INDECENT ASSAULT UNCONSCIOUS PERSON
1738,Reg,McBoyle,9003 Peach Ln,Barry,MN,56210,952-805-5723,0,1980-09-21,57.54875637997489,shocked,ACQ OR OBT POSS OF CONTR SUBS MISRE
1739,Nazario,Sprouls,8639 Holly Street,Fate,TX,75132,281-015-3330,0,1955-10-08,31.200420300446144,caustic,ILLEGAL TRANSFER AS INDUCEMENT
1740,Shanekia,Durning,2339 Apple Way,Panhandle,TX,79068,409-354-9445,1,1979-05-08,90.5350007012503,liked,NO BLUE LIGHT UNLESS EN ROUTE TO OR AT EMER SCENE
1741,India,Kingscote,2249 Gum Blvd,Windsor,CO,80550,719-275-8820,1,1965-07-31,50.63152287182447,sick,TAMPER W PUBLIC WATER SYSTEM
1742,Mathhew,Godart,P.O. Box 9540,Lecontes Mills,PA,16850,272-261-6183,0,1962-10-25,75.34043343957671,willful,ACCESS DEVICE ISSD TO ANOTHER WHO DID NOT AUTH USE
1743,Brycen,Mateo,1377 Apple Ave.,Metaline Falls,WA,99153,253-446-4648,0,1952-04-12,53.16206498242441,mocking,EXCEED 55 MPH IN OTHER LOC BY 47 MPH
1744,Jawara,Letson,9717 Elm Boulevard,Michigan City,IN,46360,219-512-6512,0,1958-03-25,69.49722497215356,confident,OVERGROWN WEEDS AND GRASS
1745,Chritian,Gofford,3108 Poplar Way,Kinderhook,IL,62345,872-586-8286,0,1980-01-07,69.20875448479339,sensitive,RESTRICTIONS ON USE OF PROBATIONARY LICENSE
1746,Dock,Bradneck,3079 Chestnut Rd,Valley Forge,PA,19483,223-348-7618,0,1972-10-02,34.55015272594575,provoked,PARKS AND RECREATION
1747,Amina,Hitter,P.O. Box 652,Janesville,MN,56048,763-363-5747,1,1969-06-12,86.42502231110724,unappreciated,ANIMAL NOISE DISTURBANCE
1748,Dominiqua,Doles,5850 Spruce Ct.,Lodi,OH,44254,614-820-9099,1,1977-01-06,35.28095595707697,determined,THEFT BY RECEIVING STOLEN PROPERTY
1749,Sanoe,Baggs,1510 Cherry St,Coupland,TX,78615,210-887-1115,1,1954-09-02,33.98508851103789,weird,CRIMINAL SOLICITATION
1750,Lamon,Weld,5944 Ash Court,Peace Dale,RI,02883,401-159-3271,0,1988-02-15,73.17156653559927,flustered,URINATION IN PUBLIC UNLAWFUL ACTS
1751,Adolphus,Manach,4421 Juniper Ln,Clines Corners,NM,87070,575-389-7548,0,1963-04-17,12.838366794261901,moved,DOG ATTACKS HUMAN W O PROVOCATION
1752,Kedric,Lamort,4405 Maple Blvd,Rockford,IL,61103,224-800-1949,0,1957-01-23,60.14525106052777,violated,DISARMING LAW ENFORCEMENT OFFICER WITHOUT LAWFUL AUTHORIZATION
1753,Adolph,MacGibbon,4682 Pine Lane,White Cloud,MI,49349,269-122-6499,0,1986-08-28,82.50536469010271,heavy-hearted,PARK RULES AND REGULATIONS
1754,Kyson,Peperell,P.O. Box 5170,Ceres,NY,14721,934-145-1380,0,1985-04-26,65.14031651340582,determined,PROHIBITED ACTS VIOLATION OF ACT
1755,Norton,Buchett,P.O. Box 36,Tyner,IN,46572,317-200-6949,0,1991-08-17,40.950597940163604,grouchy,NOT USE LOW BEAM
1756,Damali,Beat,3565 Willow Way,Wichita Falls,TX,76310,430-932-6380,1,1979-04-12,64.63908334375327,geeky,PARK AFTER HOURS
1757,Lady,Loudon,4265 Poplar Ct.,Smithville,OK,74957,405-827-8258,1,1953-07-07,31.696060916783864,sexy,PROM PROS LOITER FOR PURP OF PROS
1758,Jurgen,Milesop,2605 Holly Lane,Avon,MA,02322,508-465-3493,0,1953-01-08,33.015770531443806,aggravated,UNLAW RESTRAINT INVOL SERVITUDE
1759,Karime,Jose,9314 Cherry Avenue,Houston,TX,77007,409-845-7877,1,1957-04-09,22.824242052611034,unwise,EXCEED MAX SPEED LIMIT ESTABLISHED BY 100 MPH
1760,Angelina,Attwooll,P.O. Box 5881,Texas City,TX,77590,940-899-9757,1,1991-08-06,82.5078354360314,merciless,SQUEALING TIRES
1761,Marylou,Forgan,P.O. Box 782,Eureka,NV,89316,725-771-8833,1,1960-09-07,41.4374213412444,satiric,PARKS RECREATIONAL FAC VIOLATION
1762,Leba,Shier,5828 Hawthorn Ln.,Culver City,CA,90233,760-419-3478,1,1964-01-29,30.124212130125166,amazed,SNOWMOBILE ATV LIABILITY INS REQ
1763,Fernie,Loblie,3516 Willow Circle,Westby,MT,59275,406-339-6018,0,1990-11-04,78.2646038534955,uncanny,DUI INDIVIDUAL UNDER ALCOHOL AND DRUGS 2ND OFFENSE
1764,Connie,Janik,9798 Magnolia Boulevard,Picher,OK,74360,539-882-5295,1,1974-03-15,71.70888979561313,trusted,ABUSE OF CORPSE
1765,Lonny,Pinner,6212 Sumac Ln,Brogue,PA,17309,223-027-3558,0,1955-06-04,52.03651666006224,unfriendly,VIOLATE 500 FT LIMITATION
1766,Gerrell,Strathman,P.O. Box 9867,Portland,OR,97267,971-308-4370,0,1970-07-19,11.985476165668949,vivid,PARK OVERTIME HANDICAPPED DIS VEHICLE
1767,Jenna,Goare,1724 Sumac Ln.,Remsenburg,NY,11960,845-429-2533,1,1950-05-29,57.49314854522857,encouraged,DUI HIGH RTE OF ALC BAC 10 16 4TH OFF OR SUBSEQUENT
1768,Odetta,Goldsmith,P.O. Box 8240,Odessa,TX,79761,903-554-8614,1,1959-09-17,73.4182933538473,sinful,PASS LEFT OF PEDACYCLE
1769,Deneisha,Lumber,6116 Tupelo Avenue,Reynoldsburg,OH,43069,614-708-3101,1,1961-09-05,81.96023232545095,liberated,CLOSING HOURS
1770,Chera,Newlan,P.O. Box 2920,Springfield,IL,62767,847-457-5695,1,1968-10-11,99.95351794391922,childish,POINTING DISCHARGE FIREARMS OTHER WEAPONS
1771,Izaac,Draayer,4494 Spruce Court,Roslyn,WA,98941,425-669-6652,0,1994-09-09,34.03588367366814,suspenseful,OPEN CONTAINER OF ALCOHOL
1772,Airiel,Storror,7356 Hawthorn Street,Carmine,TX,78932,325-035-5099,1,1962-08-01,82.03338958667968,devoted,TRANSPORT SHIP BIG GAME W O PROPER TAG
1773,Jennessa,Jansik,3996 Pear Court,Springville,AL,35146,334-811-6047,1,1952-01-29,73.19024728684198,spiteful,DELEGATION OF AUTHORITY
1774,Sakeena,McGilvra,7403 Elderberry Ct,Schuyler,VA,22969,540-480-0870,1,1981-08-10,69.80844005253016,victorious,POSSESS ESTERS SALTS ISOMERS WITH INTENT TO MANUFACTURE CONTROLLED SUBSTAN
1775,Yosselyn,Mulligan,3992 Cherry Ln,Lyons,NJ,07939,862-588-5419,1,1970-04-28,52.173925586146744,inferior,PERMITS FOR PROTECTION OF FISH GENERAL RULE
1776,Macklin,Konerding,5184 Linden Circle,San Carlos,AZ,85550,928-026-5188,0,1992-05-03,78.22417608993,useless,MANUF ETC UNLAWFUL LOTT NUMB TKT
1777,Assata,Cotman,5879 Birch Boulevard,Speedwell,VA,24374,434-891-2251,1,1978-08-13,61.50642227533196,entertained,FAILURE TO TAKE REMED ACTION ODOMETER TAMPERING
1778,Latoiya,Acreman,3694 Birch Ave.,Spartansburg,PA,16434,272-840-1354,1,1989-01-02,91.36729819312728,perplexed,OPEN CONTAINER LAW
1779,Phu,Glyne,4998 Elderberry Rd,Brewster,WA,98812,425-174-8465,0,1990-12-03,38.37540361839419,incomplete,EXCEED 25 MPH RESIDENCE DIST BY 22 MPH
1780,Mindel,Fleeman,5720 Dogwood Street,Newland,NC,28657,704-562-1941,1,1959-05-14,47.83809710440726,jealous,ARREST FOR VIOLATION OF ORDER PFA
1781,Mattison,Riping,2276 Poplar Ln.,Middletown,NY,10943,680-513-1892,1,1990-02-04,79.81896450399212,flirty,ROBBERY DEMAND MONEY FROM FINANCIAL INSTITUTION
1782,Karyl,Mack,3513 Sassafras Avenue,Mccleary,WA,98557,425-690-9068,1,1970-03-26,99.82973035775187,reverent,OPEN CONTAINER
1783,Klara,Dakers,2019 Peach Road,Lake City,FL,32056,386-236-3767,1,1967-06-07,73.51470069048655,clumsy,USE OF AIR RIFLES BOWS AND ARROWS OR SIMILAR DEVICES REGULATED
1784,Hoai,Pergens,4048 Palm Avenue,Mount Calvary,WI,53057,920-829-2005,1,1988-12-20,80.27998668520377,distant,INSTITUT L VAND ISM ADJACENT GROUND
1785,Darick,Stearnes,757 Elm Ln,Milford Square,PA,18935,570-666-4419,0,1991-05-28,44.30500407198885,irked,VIOLATION BY LICENSED DEALER
1786,Tahisha,East,P.O. Box 6754,Bradleyville,MO,65614,314-519-0648,1,1964-07-29,45.31286768191968,burned-out,PROHIBITING ALCOHOL IN SYSTEM UNDER 21 YEARS OF AGE
1787,Karem,Ruddle,5577 Fir Court,Rio Oso,CA,95674,310-917-9914,1,1964-01-06,54.679604903767434,censored,MINOR PROHIBITED OPERATING W ALCOHOL
1788,Cristino,Harken,2312 Tupelo Ln.,Sublette,KS,67877,913-575-0448,0,1966-02-24,44.273625696267544,terrific,VIOL CITY CODE
1789,Drema,Chateau,9048 Linden Road,Topaz,CA,96133,310-584-0088,1,1965-11-17,98.20931268220178,rejuvenated,UNLAW IMPORT OF GAME OR WILDLIFE
1790,Shalee,Bruun,5075 Maple Circle,Silverthorne,CO,80498,970-881-1450,1,1955-12-31,38.26109950697314,jaded,FIRST DEGREE MURDER OF UNBORN CHILD
1791,Tomasita,Leaver,7117 Linden Avenue,Bruce,MS,38915,601-445-9161,1,1983-05-13,45.29830551654515,admired,SUBMIT CLAIM W FALSE INFO
1792,Tasneem,Chatelain,8125 Olive Way,New Haven,CT,06521,959-243-2600,1,1950-08-30,18.936921207034544,alive,DUI ALCOHOL MINOR
1793,Caren,Moorwood,7755 Tulip Tree Rd,Greenwood,AR,72936,870-129-3420,1,1957-03-27,86.70548428735331,discarded,EXCEED 65 MPH FOR ALL VEHICLES BY 65 MPH
1794,Terrace,Sadler,8935 Linden Boulevard,Union,IA,50258,641-084-0883,0,1958-08-02,69.53412927159064,dreamy,PAROLE FROM ANOTHER STATE
1795,Jamier,Baldcock,P.O. Box 7040,Young,AZ,85554,480-669-5454,0,1992-06-09,36.1812024578047,complacent,SKATEBOARDS RESTRICTED ON STREETS AND SIDEWALKS
1796,Herson,Stonehouse,6127 Juniper Ln,Sophia,NC,27350,704-456-8980,0,1973-10-15,41.09357279547297,competent,ANIMALS NUISANCES
1797,Deno,Kenrat,5669 Plum Blvd,Colorado City,TX,79512,940-393-5347,0,1953-05-03,24.172083957244247,painful,DISCHARGING WEAPONS FIREARMS
1798,Cristalle,Abbott,7415 Tulip Tree Road,Wapello,IA,52653,319-717-0976,1,1994-05-13,66.53021886191976,shamed,CRUELTY TO ANIMALS
1799,Niels,Whewill,2120 Dogwood Avenue,Genoa,AR,71840,870-834-0465,0,1965-07-01,47.59836182452545,exasperated,USE OF COMM FACILITY
1800,Alyce,Cogzell,1460 Hawthorn Circle,Spring,TX,77393,409-786-8928,1,1964-03-19,68.5191866270028,noticed,ACCESS DEVICE IS COUNTERFEIT ALTERED INCOMPLETE
1801,Dontrell,Vassano,P.O. Box 4529,Comfort,TX,78013,254-347-8400,0,1974-06-20,12.79727915234353,frustrated,VIOLATION OF PROTECTIVE ORDERS
1802,Tala,Leipnik,5274 Birch Ave,Lindsay,MT,59339,406-981-8776,1,1968-06-20,85.14715214568258,petty,CONTROL OF ALARM DEVICES
1803,Tavare,Rothery,6548 Fir Ave,Hoskins,NE,68740,402-885-6469,0,1955-07-20,23.07830826586745,pressured,TEMP REGISTRATION CARD VIOL
1804,Juanjose,Swift,3368 Juniper Circle,Ashby,MA,01431,339-143-3315,0,1980-03-08,37.29622706399881,jubilant,DISORDERLY HOUSE
1805,Karyna,Rannigan,5437 Alder St,Charm,OH,44617,380-205-8223,1,1964-05-21,77.39703193829858,admired,LOITERING
1806,Cerena,Dumini,1858 Redwood Ln,Colorado Springs,CO,80970,303-165-7256,1,1971-12-03,91.49384302568647,ashamed,UNLAWFUL CONTACT W MINOR SEXUAL EXPLOITATION
1807,Annaliza,Jolly,7929 Fir Blvd,Scaly Mountain,NC,28775,910-124-3058,1,1989-09-15,54.663811580196096,haunting,FIREARM OWNERSHIP PROVIDING FALSE INFO
1808,Darick,Kenningley,6903 Ash Street,Milford,UT,84751,385-979-2526,0,1953-11-24,45.739558907198266,heard,CONTEMPT OF COURT
1809,Tekia,Orritt,2181 Olive Ave.,Kincaid,IL,62540,708-046-1347,1,1991-04-05,66.34785069894272,appreciative,DISORDERLY CONDUCT STRIKING OFFICER
1810,Danh,Perigeaux,6631 Yellowwood Circle,Aylett,VA,23009,804-510-6905,0,1985-08-29,25.871060571312803,disappointed,PUBLIC DRUNKENNESS
1811,Ontario,Vankin,5335 Beech Ave.,Elysburg,PA,17824,724-833-3805,0,1959-08-10,59.962836756413424,ecstatic,OPEN CONTAINERS
1812,Prisilla,Olenchikov,6445 Chestnut Ln.,Keyport,NJ,07735,856-487-3369,1,1967-07-10,35.80730655602888,enchanted,VEHICLE TURNING LEFT
1813,Daija,Baldam,7815 Plum Court,Silver Gate,MT,59081,406-726-4729,1,1959-03-30,55.95965476575482,wasted,FAILURE TO COMPLY WITH SECTIONS 503 A OR 503 4
1814,Jilliane,Ossulton,2200 Elderberry Ln,Dighton,MA,02715,508-504-9445,1,1981-09-05,80.67385635150738,witty,ABATEMENT OF NUISANCE
1815,Mariluz,Giacomo,9690 Oak St,Pocatello,ID,83205,986-467-7647,1,1956-01-16,71.35758861792254,supported,VIOL RULES REGS EQUIP REQ
1816,Terren,Benedek,1869 Hawthorn Ct.,Rock Camp,OH,45675,567-964-9453,0,1959-07-18,97.40937014293213,forgiving,UNLAWFUL OPER SNOW ATV ON LEFT SIDE OF HWY STREET
1817,Justyce,Lemm,P.O. Box 3008,Milton Mills,NH,03852,603-113-3540,1,1964-02-20,42.528076023717766,off,DISPOSITION OF DOG DURING COURT PROCEEDINGS
1818,Edgard,Nansom,9403 Cedar St.,Greenville,SC,29607,864-070-4510,0,1970-01-18,30.73306991467003,perky,PAN HANDLING
1819,Kion,Margiotta,7509 Tupelo Circle,Intervale,NH,03845,603-499-7777,0,1995-03-25,23.0338661555328,logical,OPERATION ON SHOULDER
1820,Stormie,Crannis,1759 Dogwood Lane,Blevins,AR,71825,870-777-2929,1,1995-02-17,82.8262050301555,apathetic,ADULT DR W BL ALC LEV 10 GREATER 2ND OFF
1821,Jetaun,Bernardez,9806 Chestnut Road,Rochester,MI,48308,989-002-9979,1,1964-07-14,36.57162692393004,broken,CARRYING DISCHARGING FIREARMS
1822,Gumercindo,Capelin,9309 Larch Ct.,Critz,VA,24082,276-532-2864,0,1959-09-30,50.85207437694416,healthy,SUSPENSION OF OPERATING PRIV
1823,Shaneque,Scedall,6819 Linden Street,Charlotte,NC,28220,919-612-6642,1,1962-11-30,58.91101289814439,mistreated,REGISTRATION W IN TEN DAYS CHANGE OF RESIDENCE
1824,Brittnie,Aglione,7366 Poplar Rd,White Deer,PA,17887,412-306-3027,1,1988-05-17,28.04529632604974,dedicated,POSSESSION SALE AT RETAIL OF AIR OR BB GUN PROHIBITED
1825,Eriq,Scottrell,1433 Sumac Avenue,Sierra Vista,AZ,85671,623-256-4711,0,1984-05-10,25.532774354071627,gentle,BLOCKING ACCESS
1826,Johnisha,Bather,7976 Linden Rd.,Gualala,CA,95445,805-590-0192,1,1971-10-26,73.2721648313283,confused,HABITUAL OFFENDER
1827,Enza,Blencowe,3538 Spruce Rd,Trinway,OH,43842,937-537-2739,1,1950-11-26,19.32225943134194,disdainful,CONTEMPT FAILURE TO COMPLY WITH RESTITUTION ORDER
1828,Delbert,Yakovl,7346 Tulip Tree Rd,Los Angeles,CA,90019,909-386-2735,0,1954-09-14,53.26846712995586,renewed,ILL OPERATE W O IG INT BAC 025 1ST OFF
1829,Talitha,Liddiard,2783 Cedar Circle,Fort Lauderdale,FL,33338,239-144-5735,1,1980-10-05,15.594452214612122,antagonistic,DISOBEY TRAF CONT DEV LIM ACCE
1830,Amiee,Rottery,5890 Sassafras Lane,Ridgely,MD,21681,240-179-8525,1,1978-10-04,32.694691458156015,industrious,FAC WEAPONS OF MASS DEST ALARM LAW ENF ORG
1831,Sheron,Phelps,5415 Tulip Tree Ln,Jeffersonville,GA,31044,404-159-2232,1,1992-12-31,55.59017303321374,scorned,INSTITUTIONAL VANDALISM ILLEGAL POSSESSION
1832,Takesha,Stanlike,P.O. Box 2068,Roma,TX,78584,832-383-4295,1,1976-10-11,84.34397967302651,surly,SOLICITATION
1833,Juniper,Vonasek,3339 Redwood Rd,Roderfield,WV,24881,304-796-0974,1,1988-09-02,92.42875556341336,rich,DR UN THE INF OF CONTRO SUBSTAN
1834,Buffy,Bakey,7844 Maple Blvd.,Lansing,MI,48951,586-575-9396,1,1962-05-23,63.06745733190581,proud,ALCOHOLIC BEVERAGES PROHIBITED IN MOTOR VEHICLES
1835,Rakeem,Block,1509 Ash Avenue,New Rochelle,NY,10802,646-137-6794,0,1986-10-13,58.386594243016326,touched,INVOLUNTARY MANSLAUGHTER
1836,Kasheem,Evenden,1283 Hickory Boulevard,Bridgton,ME,04009,207-065-3637,0,1983-11-03,69.30476479317419,wealthy,OWN SELL MANUF TRANS INCEND DEV
